Potential (V)	 Current (A)	 Elapsed Time (s)
0.52442566	 5.1556396e-006	 26.22
0.5267242	 5.1660156e-006	 26.335
0.52902274	 5.201416e-006	 26.45
0.53132128	 5.2142334e-006	 26.565
0.53361982	 5.2294922e-006	 26.68
0.53591836	 5.2709961e-006	 26.795
0.5382169	 5.3155518e-006	 26.91
0.54051545	 5.3668213e-006	 27.025
0.54281399	 5.401001e-006	 27.14
0.54511253	 5.435791e-006	 27.255
0.54741107	 5.4705811e-006	 27.37
0.54972716	 5.5102539e-006	 27.485
0.5520257	 5.5438232e-006	 27.6
0.55432424	 5.5883789e-006	 27.715
0.55662278	 5.6109619e-006	 27.83
0.55892132	 5.6665039e-006	 27.945
0.56121986	 5.7293701e-006	 28.06
0.5635184	 5.8001709e-006	 28.175
0.56581695	 5.8538818e-006	 28.29
0.56811549	 5.9100342e-006	 28.405
0.57041403	 5.9631348e-006	 28.52
0.57271257	 6.0144043e-006	 28.635
0.57501111	 6.0632324e-006	 28.75
0.57730965	 6.1090088e-006	 28.865
0.57960819	 6.1517334e-006	 28.98
0.58192428	 6.2268066e-006	 29.095
0.58422282	 6.3183594e-006	 29.21
0.58652136	 6.4160156e-006	 29.325
0.58881991	 6.4959717e-006	 29.44
0.59111845	 6.5710449e-006	 29.555
0.59341699	 6.663208e-006	 29.67
0.59571553	 6.7468262e-006	 29.785
0.59801407	 6.8426514e-006	 29.9
0.60031261	 6.940918e-006	 30.015
0.60261115	 7.0281982e-006	 30.13
0.6049097	 7.1502686e-006	 30.245
0.60720824	 7.2845459e-006	 30.36
0.60950678	 7.4371338e-006	 30.475
0.61180532	 7.5714111e-006	 30.59
0.61412141	 7.7282715e-006	 30.705
0.61641995	 7.8771973e-006	 30.82
0.61871849	 8.0297852e-006	 30.935
0.62101703	 8.1970215e-006	 31.05
0.62331557	 8.3624268e-006	 31.165
0.62561411	 8.5229492e-006	 31.28
0.62791266	 8.7219238e-006	 31.395
0.6302112	 8.9453125e-006	 31.51
0.63250974	 9.1876221e-006	 31.625
0.63480828	 9.4268799e-006	 31.74
0.63710682	 9.6844482e-006	 31.855
0.63940536	 9.956665e-006	 31.97
0.6417039	 1.0244141e-005	 32.085
0.64400245	 1.0559692e-005	 32.2
0.64630099	 1.0876465e-005	 32.315
0.64861707	 1.1239624e-005	 32.43
0.65091562	 1.1638184e-005	 32.545
0.65321416	 1.2072754e-005	 32.66
0.6555127	 1.2526855e-005	 32.775
0.65781124	 1.2994385e-005	 32.89
0.66010978	 1.3504028e-005	 33.005
0.66240832	 1.4035034e-005	 33.12
0.66470686	 1.4597168e-005	 33.235
0.6670054	 1.5195923e-005	 33.35
0.66930395	 1.5804443e-005	 33.465
0.67160249	 1.6450195e-005	 33.58
0.67390103	 1.7127686e-005	 33.695
0.67619957	 1.7826538e-005	 33.81
0.67849811	 1.8491821e-005	 33.925
0.6808142	 2.3608398e-005	 34.04
0.68311274	 1.9793701e-005	 34.155
0.68541128	 2.020874e-005	 34.27
0.68770982	 2.0666504e-005	 34.385
0.69000836	 2.1087646e-005	 34.5
0.69230691	 2.1386719e-005	 34.615
0.69460545	 2.1679688e-005	 34.73
0.69690399	 2.2052002e-005	 34.845
0.69920253	 2.2644043e-005	 34.96
0.70150107	 2.3590088e-005	 35.075
0.70379961	 2.4713135e-005	 35.19
0.70609815	 2.5488281e-005	 35.305
0.7083967	 2.5695801e-005	 35.42
0.71069524	 2.532959e-005	 35.535
0.71301132	 2.4517822e-005	 35.65
0.71530987	 2.34375e-005	 35.765
0.71760841	 2.2235107e-005	 35.88
0.71990695	 2.1026611e-005	 35.995
0.72220549	 1.9812012e-005	 36.11
0.72450403	 1.8664551e-005	 36.225
0.72680257	 1.7608643e-005	 36.34
0.72910111	 1.6662598e-005	 36.455
0.73139966	 1.5802002e-005	 36.57
0.7336982	 1.5081787e-005	 36.685
0.73599674	 1.4385986e-005	 36.8
0.73829528	 1.3824463e-005	 36.915
0.74059382	 1.3360596e-005	 37.03
0.74289236	 1.2957764e-005	 37.145
0.7451909	 1.2585449e-005	 37.26
0.74750699	 1.227417e-005	 37.375
0.74980553	 1.1999512e-005	 37.49
0.75210407	 1.1749268e-005	 37.605
0.75440262	 1.1535645e-005	 37.72
0.75670116	 1.1328125e-005	 37.835
0.7589997	 1.1132813e-005	 37.95
0.76129824	 1.0998535e-005	 38.065
0.76359678	 1.0858154e-005	 38.18
0.76589532	 1.0791016e-005	 38.295
0.76819386	 1.0650635e-005	 38.41
0.7704924	 1.0552979e-005	 38.525
0.77279095	 1.0491943e-005	 38.64
0.77508949	 1.0406494e-005	 38.755
0.77738803	 1.0351563e-005	 38.87
0.77970412	 1.0266113e-005	 38.985
0.78200266	 1.0217285e-005	 39.1
0.7843012	 1.0186768e-005	 39.215
0.78659974	 9.942627e-006	 39.33
0.78889828	 1.0167847e-005	 39.445
0.79119682	 1.0147095e-005	 39.56
0.79349536	 1.0130005e-005	 39.675
0.79579391	 1.0101318e-005	 39.79
0.79809245	 1.0079346e-005	 39.905
0.80039099	 1.0081177e-005	 40.02
0.80268953	 1.005188e-005	 40.135
0.80498807	 1.0043335e-005	 40.25
0.80728661	 1.005127e-005	 40.365
